predicate,acc,bal_acc,acc_auc,full_acc,f1,f2,f05,pauc,mR@10,mNgR@10,mR@20,mNgR@20,mR@50,mNgR@50,mR@-1,mNgR@-1,R@10,NgR@10,R@20,NgR@20,R@50,NgR@50,R@-1,NgR@-1
mean,0.8035620419890492,0.8034468319816715,0.7847949237374544,0.9251869806094182,0.18735007196662282,0.284092241825855,0.8035620419890491,0.9046251097545371,0.2176286837886184,0.3003728984908952,0.2502229586645855,0.3890737058320609,0.27217255049058126,0.4675599215810816,0.18351362150822295,0.213803187197173,0.1914794006930379,0.23715344415072856,0.22685195061542707,0.3164554704649682,0.24896120460341326,0.419037457321726,0.15328455312749673,0.1617712675053457
NONE,0.5047463565022422,0.5047773640472631,0.506083075046162,0.47657894736842105,0.08001850138760407,0.052679658952496954,0.16634615384615384,0.5301455716932699,,,,,,,,,,,,,,,,
over,0.8783205374280232,0.87935240861362,0.8649198374167325,0.8630263157894736,0.47344461305007585,0.6610169491525424,0.36879432624113473,0.9137653772519025,0.4514417531718568,0.42539407920030736,0.5118992695117263,0.4900807381776239,0.5465013456362936,0.5451364859669355,0.3894463667820069,0.36118800461361017,,,,,,,,
in front of,0.6875378787878786,0.6881035853987112,0.6838324420677362,0.9647368421052631,0.28342245989304815,0.3441558441558441,0.2409090909090909,0.9258969583353621,0.08185358255451713,0.08045171339563863,0.14894859813084113,0.1647196261682243,0.2145638629283489,0.3186721183800623,0.033177570093457946,0.020677570093457946,,,,,,,,
beside,0.572637614678899,0.5732521953971847,0.5932245008094982,0.9406578947368421,0.15065913370998116,0.1687763713080169,0.1360544217687075,0.8486766719941141,0.03913305879011645,0.03345758780649437,0.08193458297832054,0.09422630881378395,0.11943734418883524,0.23487645555239994,0.014712912998201268,0.007032803180914513,,,,,,,,
on,0.6551916757940853,0.6550416356072358,0.6573838670188776,0.8664473684210526,0.40399295361127424,0.3872129671319226,0.422293150012276,0.819027977811159,0.1495132979317432,0.14778509727061565,0.16361481506298592,0.2125036295005808,0.16886307290270713,0.31189261703743393,0.1306362654114179,0.10659570993031361,,,,,,,,
in,0.7760893854748603,0.7751662013055205,0.7698093986197831,0.9442105263157895,0.335423197492163,0.4553191489361702,0.2655086848635236,0.9349422859332455,0.12500994826900116,0.237266215678472,0.1552792147499668,0.300358137684043,0.16085024539063533,0.3735707653534952,0.0983618517044701,0.1307666799310253,,,,,,,,
attached to,0.5991284403669724,0.5992452506593027,0.6105518078791149,0.9522368421052632,0.21258134490238612,0.21973094170403587,0.20588235294117646,0.8286950156467877,0.09753914988814319,0.07774049217002237,0.14384787472035793,0.1498881431767338,0.1559284116331096,0.2823266219239374,0.05380313199105146,0.03456375838926175,,,,,,,,
hanging from,0.9713888888888889,0.9718329514072508,0.9514950980392156,0.9714473684210526,0.2439024390243902,0.4430379746835442,0.16826923076923073,0.9897210470650449,0.2647058823529412,0.2857142857142857,0.2857142857142857,0.3067226890756303,0.3067226890756303,0.35294117647058826,0.20378151260504201,0.25210084033613445,,,,,,,,
on back of,0.6061538461538462,0.6051038720077866,0.5991628959276019,0.9781578947368421,0.03488372093023256,0.07109004739336493,0.023112480739599383,0.9030020987316362,0.0,0.0,0.02564102564102564,0.14102564102564102,0.07692307692307693,0.2692307692307692,0.0,0.0,,,,,,,,
falling off,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,,,,,,,,
going down,0.9925,0.9903238546603476,0.9833088235294117,0.9806578947368421,0.05161290322580646,0.11976047904191617,0.03289473684210526,0.9980252764612955,0.26666666666666666,0.4,0.26666666666666666,0.4,0.26666666666666666,0.4,0.2,0.2,,,,,,,,
painted on,0.495,0.4946703513620213,0.49264705882352944,0.9892105263157894,0.0,0.0,0.0,0.6896960126332412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
walking on,0.8099999999999998,0.8095046854082999,0.7724932126696832,0.9152631578947369,0.22033898305084743,0.3741776315789474,0.15614275909402883,0.9370672433323035,0.1882882882882883,0.20675675675675675,0.2527027027027027,0.3797297297297296,0.27612612612612614,0.5783783783783784,0.14684684684684685,0.12837837837837837,,,,,,,,
