epoch=19 rel_mean_recall/50=0.40283450
epoch=20 rel_mean_recall/50=0.39957717
epoch=21 rel_mean_recall/50=0.35816368
epoch=22 rel_mean_recall/50=0.38899559
epoch=23 rel_mean_recall/50=0.39415923
epoch=24 rel_mean_recall/50=0.37782651
epoch=25 rel_mean_recall/50=0.37338719
epoch=26 rel_mean_recall/50=0.40423626
epoch=27 rel_mean_recall/50=0.37982896
epoch=28 rel_mean_recall/50=0.41425124
epoch=29 rel_mean_recall/50=0.39694092
epoch=30 rel_mean_recall/50=0.36689702
epoch=31 rel_mean_recall/50=0.36264682
epoch=32 rel_mean_recall/50=0.41246429
epoch=33 rel_mean_recall/50=0.37904477
epoch=34 rel_mean_recall/50=0.39484969
epoch=35 rel_mean_recall/50=0.36259541
epoch=36 rel_mean_recall/50=0.40801734
epoch=37 rel_mean_recall/50=0.39230877
epoch=38 rel_mean_recall/50=0.36490634
epoch=39 rel_mean_recall/50=0.38832781
